Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
N22	2.16e-05	12	5227.8668166004545	17	0.6486666666666667	32	5.76e-05
N23	1.98e-05	11	6670.735765334083	16	0.6789999999999999	32	5.76e-05
N24	1.98e-05	11	12462.994427169237	13	0.7193333333333333	32	5.76e-05
O1	1.8e-05	10	15983.661370423579	14	0.7676666666666666	32	5.76e-05
O2	1.8e-05	10	12652.947362810499	16	0.7966666666666667	32	5.76e-05
O3	1.98e-05	11	65145.6329054488	11	0.6726666666666666	32	5.76e-05
O4	1.8e-05	10	3922.9023847028925	14	0.8193333333333332	30	5.4e-05
O5	1.98e-05	11	69514.36904326033	11	0.735	32	5.76e-05
O6	1.98e-05	11	8909.95479377172	15	0.757	32	5.76e-05
O7	1.98e-05	11	9380.417229780089	16	0.7316666666666666	32	5.76e-05
O8	1.98e-05	11	69388.63761180747	11	0.7973333333333333	32	5.76e-05
O9	1.98e-05	11	10459.765726496882	12	0.7113333333333333	32	5.76e-05
O10	1.98e-05	11	6990.863846089505	20	0.7223333333333333	32	5.76e-05
O11	1.98e-05	11	6866.943634496623	16	0.6633333333333334	32	5.76e-05
O12	1.8e-05	10	81238.37075581447	10	0.7133333333333333	32	5.76e-05
O13	1.98e-05	11	12549.640926589316	18	0.895	32	5.76e-05
O14	1.98e-05	11	16325.048171734461	12	0.8253333333333334	31	5.58e-05
O15	1.98e-05	11	8456.107783530686	21	0.662	32	5.76e-05
O16	2.16e-05	12	57614.77287359555	12	0.707	32	5.76e-05
O17	1.98e-05	11	76461.30293228517	11	0.8676666666666667	32	5.76e-05
O18	1.98e-05	11	74957.59685809528	11	0.7606666666666667	27	4.86e-05
O19	1.98e-05	11		22	0.6846666666666668	32	5.76e-05
O20	1.98e-05	11	9264.218027582168	15	0.697	32	5.76e-05
O21	1.98e-05	11	17964.843619681607	12	0.8496666666666667	32	5.76e-05
