	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
282	L17	7200.0	4.0	7.730061091137258e-06	22.0	0.8563333333333333	28	50400.0
283	L18	16200.0	9.0	1.0731701281558514e-05	18.0	0.6236666666666667	33	59400.0
284	L19	14400.0	8.0	6.8416259267720876e-06	17.0	0.8643333333333333	48	86400.0
285	L20	14400.0	8.0	6.986243614652358e-06	18.0	0.8289999999999998	48	86400.0
286	L21	9000.0	5.0	7.468690291822778e-06	20.0	0.9313333333333335	48	86400.0
287	L22	16200.0	9.0	2.3910367456681287e-05	12.0	0.8266666666666667	48	86400.0
288	L23	14400.0	8.0	1.3330799639666476e-05	14.0	0.455	24	43200.0
289	L24	14400.0	8.0	2.1936396608493014e-05	14.0	1.0170000000000001	48	86400.0
290	M1	14400.0	8.0	1.2407710617842907e-05	20.0	0.908	48	86400.0
291	M2	12600.0	7.0	1.2427484430602884e-05	17.0	0.819	48	86400.0
292	M3	12600.0	7.0	3.044101011195729e-05	12.0	0.799	48	86400.0
293	M4	12600.0	7.0	1.946717751156807e-05	14.0	0.961	26	46800.0
294	M5	12600.0	7.0	4.498899516488319e-05	11.0	0.824	48	86400.0
295	M6	12600.0	7.0	6.9313176796549635e-06	19.0	0.8263333333333333	48	86400.0
296	M7	12600.0	7.0	9.188755741346586e-06	18.0	0.8529999999999999	48	86400.0
297	M8	14400.0	8.0	1.5344281854666526e-05	15.0	0.8896666666666667	23	41400.0
298	M9	16200.0	9.0	7.157691810643592e-06	17.0	0.8146666666666667	48	86400.0
299	M10	14400.0	8.0	4.924753543362082e-05	10.0	0.831	48	86400.0
300	M11	16200.0	9.0	1.394054494977321e-05	12.0	0.507	28	50400.0
301	M12	12600.0	7.0	9.743238963373364e-06	15.0	0.8916666666666666	43	77400.0
302	M13					0.11366666666666668	45	81000.0
303	M14	12600.0	7.0	1.9714131796612653e-05	9.0	0.8816666666666667	47	84600.0
304	M15	14400.0	8.0	8.227335590616158e-06	18.0	0.863	48	86400.0
305	M16	14400.0	8.0	5.1233261628083736e-05	11.0	0.9093333333333334	48	86400.0
